year,role,Females,Males,Total
2022,Civilians,"9,221 (6,917-12,630)","15,737 (11,805-21,556)","24,958 (18,722-34,186)"
2023,Civilians,"1,044 (824-1,259)","1,556 (1,229-1,877)","2,600 (2,053-3,137)"
2024,Civilians,"1,041 (901-1,348)","1,510 (1,306-1,955)","2,550 (2,207-3,303)"
2025,Civilians,"964 (918-1,004)","1,669 (1,589-1,737)","2,634 (2,507-2,740)"
2022,Registered combatants,143 (143-143),"21,199 (21,199-21,199)","21,342 (21,342-21,342)"
2023,Registered combatants,67 (67-67),"24,896 (24,896-24,896)","24,964 (24,964-24,964)"
2024,Registered combatants,88 (88-88),"24,202 (24,202-24,202)","24,289 (24,289-24,289)"
2025,Registered combatants,74 (74-74),"15,857 (15,857-15,857)","15,931 (15,931-15,931)"
2022,Missing combatants (imputed),24 (11-29),"7,287 (3,292-9,017)","7,311 (3,302-9,046)"
2023,Missing combatants (imputed),0 (0-0),"8,924 (4,190-11,279)","8,924 (4,190-11,279)"
2024,Missing combatants (imputed),3 (2-4),"21,694 (10,532-27,377)","21,698 (10,533-27,381)"
2025,Missing combatants (imputed),13 (6-17),"30,581 (14,403-39,287)","30,594 (14,409-39,304)"
,Total,"12,674 (10,402-16,144)","173,441 (153,132-188,532)","186,073 (165,204-202,350)"
